"id","first_name","last_name","position","height_feet","height_inches","weight_pounds","team_id","updated_at","created_at","public_id"
61,"Carl","Herrera","",NULL,NULL,NULL,1610612745,"2019-01-12 12:49:01.364162-08","2019-01-12 12:49:01.364162-08",698
76277,"Myron","Brown","",NULL,NULL,NULL,1610612750,"2019-01-12 12:49:43.383525-08","2019-01-12 12:49:43.383525-08",699
905,"Dale","Davis","",NULL,NULL,NULL,1610612754,"2019-01-12 12:49:49.595334-08","2019-01-12 12:49:49.595334-08",700
78194,"Labradford","Smith","",NULL,NULL,NULL,1610612764,"2019-01-12 12:49:57.974008-08","2019-01-12 12:49:57.974008-08",701
183,"Bison","Dele","",NULL,NULL,NULL,1610612753,"2019-01-12 12:50:01.17522-08","2019-01-12 12:50:01.17522-08",702
77707,"Chuck","Nevitt","",NULL,NULL,NULL,1610612741,"2019-01-12 12:50:20.008039-08","2019-01-12 12:50:20.008039-08",703
76635,"Patrick","Eddie","",NULL,NULL,NULL,1610612752,"2019-01-12 12:50:50.418981-08","2019-01-12 12:50:50.418981-08",704
77970,"David","Rivers","",NULL,NULL,NULL,1610612746,"2019-01-12 12:50:51.186957-08","2019-01-12 12:50:51.186957-08",705
26,"Luc","Longley","",NULL,NULL,NULL,1610612750,"2019-01-12 12:51:23.203293-08","2019-01-12 12:51:23.203293-08",706
737,"Bob","McCann","",NULL,NULL,NULL,1610612765,"2019-01-12 12:51:49.760671-08","2019-01-12 12:51:49.760671-08",707
140,"Donald","Royal","",NULL,NULL,NULL,1610612759,"2019-01-12 12:51:51.350405-08","2019-01-12 12:51:51.350405-08",708
194,"Anthony","Bowie","",NULL,NULL,NULL,1610612753,"2019-01-12 12:55:48.102888-08","2019-01-12 12:55:48.102888-08",709
76450,"Chris","Corchiani","",NULL,NULL,NULL,1610612753,"2019-01-12 12:55:48.102888-08","2019-01-12 12:55:48.102888-08",710
78333,"Stephen","Thompson","",NULL,NULL,NULL,1610612753,"2019-01-12 12:55:48.102888-08","2019-01-12 12:55:48.102888-08",711
78041,"Jeff","Ruland","",NULL,NULL,NULL,1610612755,"2019-01-12 12:56:18.998261-08","2019-01-12 12:56:18.998261-08",712
97,"Ronnie","Grandison","",NULL,NULL,NULL,1610612766,"2019-01-12 12:56:47.077834-08","2019-01-12 12:56:47.077834-08",713
78273,"Lamont","Strothers","",NULL,NULL,NULL,1610612757,"2019-01-12 12:56:47.077834-08","2019-01-12 12:56:47.077834-08",714
929,"Tracy","Moore","",NULL,NULL,NULL,1610612742,"2019-01-12 12:58:24.776299-08","2019-01-12 12:58:24.776299-08",715
1114,"Jaren","Jackson","",NULL,NULL,NULL,1610612744,"2019-01-12 12:59:02.558943-08","2019-01-12 12:59:02.558943-08",716
941,"Ennis","Whatley","",NULL,NULL,NULL,1610612757,"2019-01-12 12:59:35.272675-08","2019-01-12 12:59:35.272675-08",717
77065,"Brian","Howard","",NULL,NULL,NULL,1610612742,"2019-01-12 12:59:50.265081-08","2019-01-12 12:59:50.265081-08",718
76316,"Steve","Burtt","",NULL,NULL,NULL,1610612756,"2019-01-12 13:00:57.459192-08","2019-01-12 13:00:57.459192-08",719
